Ranking,Chinese Name,English Name,LONGITUDE,LATITUDE,"Academic	",Sport,Music,Campus,Teacher,Boarding Fee,School Type,Poi
51,中華基督教會協和小學（長沙灣）,C.C.C. Heep Woh Primary School (Cheung Sha Wan),114.16796,22.31139,8 (8),8 (8),7.5 (7.5),6.5 (6.5),5 (5),-,資助,7.25 (7.25)
52,香港培正小學,Pui Ching Primary School,114.17592,22.31804,7 (7),9 (9),8.3 (8.3),7 (7),4 (4),50350,私立,7.25 (7.25)
53,聖公會馬鞍山主風小學,S.K.H. Ma On Shan Holy Spirit Primary School,114.17592,22.31804,8 (8),7 (7),8.5 (8.5),8 (8),7 (7),-,資助,7.24 (7.24)
54,中華基督教會基慧小學（馬灣）,C.C.C. Kei Wai Primary School (Ma Wan),114.22031,22.40708,7 (7),8 (8),9 (9),6.5 (6.5),6 (6),-,資助,7.23 (7.23)
55,滬江小學,Shanghai Alumni Primary School,114.21554,22.28164,8 (8),7 (7),6.5 (6.5),5 (5),5 (5),-,資助,7.21 (7.21)
56,中西區聖安多尼學校,Central & Western District St. Anthony's School,114.14769,22.28393,8 (8),7 (7),7.8 (7.8),5 (5),8 (8),-,資助,7.21 (7.21)
57,聖士提反書院附屬小學,St. Stephen's College Preparatory School,114.21575,22.21239,5 (5),8 (8),8.3 (8.3),10 (10),9 (9),86500,私立,7.21 (7.21)
58,保良局何壽南小學,P.L.K. Stanley Ho Sau Nan Primary School,114.20442,22.33136,8 (8),6.5 (6.5),7.5 (7.5),6.5 (6.5),8 (8),-,資助,7.2 (7.2)
59,勵志會梁李秀娛紀念小學,The Endeavourers Leung Lee Sau Yu Memorial Primary School,114.22695,22.27656,6.5 (6.5),6.5 (6.5),9 (9),8 (8),9 (9),-,資助,7.2 (7.2)
60,和富慈善基金李宗德小學,W F Joseph Lee Primary School,113.99614,22.46526,8 (8),8 (8),7.5 (7.5),7 (7),8 (8),15300,直資,7.19 (7.19)
61,九龍禮賢學校,Kowloon Rhenish School,114.17553,22.32967,8 (8),6.5 (6.5),5.3 (5.3),5 (5),5 (5),45000,私立,7.18 (7.18)
62,聖公會李兆強小學,S.K.H. Lee Shiu Keung Primary School,114.23711,22.30684,8 (8),7 (7),7.8 (7.8),7 (7),5 (5),-,資助,7.16 (7.16)
63,中華基督教會基灣小學,C.C.C. Kei Wan Primary School,114.22262,22.28034,8 (8),6.5 (6.5),8.3 (8.3),5 (5),6 (6),-,資助,7.1 (7.1)
64,英皇書院同學會小學第二校,King's College Old Boys' Association Primary School No. 2,114.14783,22.28417,7 (7),6 (6),7.5 (7.5),5 (5),7 (7),-,資助,7.09 (7.09)
65,太古小學,Taikoo Primary School,114.21485,22.28405,7 (7),7 (7),4.8 (4.8),8 (8),6 (6),-,資助,7.09 (7.09)
66,中華基督教會基法小學（油塘）,C.C.C. Kei Faat Primary School (Yau Tong),114.23402,22.29973,6 (6),6 (6),5 (5),7 (7),8 (8),-,資助,7.08 (7.08)
67,聖公會奉基千禧小學,S.K.H. Fung Kei Millennium Primary School,114.19126,22.30443,8 (8),8 (8),4.8 (4.8),5 (5),5 (5),-,資助,7.07 (7.07)
68,天神嘉諾撒學校,Holy Angels Canossian School,114.18628,22.31061,8 (8),6.5 (6.5),7.8 (7.8),5 (5),5 (5),-,資助,7.06 (7.06)
69,聖保羅書院小學,St. Paul's College Primary School,114.13829,22.25399,5 (5),9 (9),8 (8),6 (6),10 (10),30000,直資,7.06 (7.06)
70,天主教石鐘山紀念小學,Shak Chung Shan Memorial Catholic Primary School,114.11321,22.36392,8 (8),7 (7),8.3 (8.3),5 (5),9 (9),-,資助,7.05 (7.05)
71,馬頭涌官立小學（紅磡灣）,Ma Tau Chung Government Primary School (Hung Hom Bay),114.18789,22.30238,5 (5),8 (8),7.8 (7.8),7 (7),8 (8),-,官立,7.04 (7.04)
72,培僑書院,Pui Kiu College,114.17334,22.37441,5 (5),8 (8),9.5 (9.5),10 (10),9 (9),25300,直資,7.04 (7.04)
73,北角衞理小學,North Point Methodist Primary School,114.20532,22.28954,8 (8),7 (7),7.8 (7.8),5 (5),8 (8),-,資助,7.02 (7.02)
74,馬鞍山循道衛理小學,Ma On Shan Methodist Primary School,114.22484,22.41752,7 (7),6.5 (6.5),6.5 (6.5),7 (7),6.5 (6.5),-,資助,7.02 (7.02)
75,大角嘴天主教小學,Tai Kok Tsui Catholic Primary School,114.16217,22.3221,7 (7),6.5 (6.5),7.8 (7.8),8 (8),7 (7),-,資助,7.01 (7.01)
76,中華基督教會協和小學,C.C.C. Heep Woh Primary School,114.1721,22.32401,9 (9),8 (8),9 (9),6 (6),6 (6),-,資助,7 (7)
77,九龍灣聖若翰天主教小學,Kowloon Bay St. John The Baptist Catholic Primary School,114.20502,22.28991,8 (8),7 (7),7.8 (7.8),7 (7),8 (8),-,資助,6.99 (6.99)
78,番禺會所華仁小學,Pun U Association Wah Yan Primary School,114.23766,22.31178,7 (7),9 (9),7.8 (7.8),5 (5),5 (5),-,資助,6.98 (6.98)
