School Name,LONGITUDE,LATITUDE,School Type
BUDDHIST WING YAN SCHOOL,114.03372,22.44108,PRIMARY
"HONG CHI MORNINGJOY SCHOOL, YUEN LONG (PRIMARY SECTION)",114.0228,22.44075,PRIMARY
YUEN LONG PUBLIC MIDDLE SCHOOL ALUMNI ASSOCIATION PRIMARY SCHOOL,114.02056,22.4407,PRIMARY
PO LEUNG KUK LAW'S FOUNDATION SCHOOL (PRIMARY SECTION),114.01785,22.44063,PRIMARY
KAM TIN MUNG YEUNG PUBLIC SCHOOL,114.06103,22.44032,PRIMARY
S.K.H. ST. JOSEPH'S PRIMARY SCHOOL,114.06715,22.43876,PRIMARY
SOUTH YUEN LONG GOVERNMENT PRIMARY SCHOOL,114.01968,22.43845,PRIMARY
BUDDHIST CHAN WING KAN MEMORIAL SCHOOL,114.01984,22.43778,PRIMARY
ELCHK LUTHERAN ACADEMY,114.01978,22.43703,PRIMARY
MALVERN COLLEGE HONG KONG,114.20164,22.43334,PRIMARY
PAT HEUNG CENTRAL PRIMARY SCHOOL,114.08674,22.4316,PRIMARY
JAPANESE INTERNATIONAL SCHOOL,114.19539,22.43082,PRIMARY
PO LEUNG KUK TIN KA PING MILLENNIUM PRIMARY SCHOOL,114.19603,22.43075,PRIMARY
YUEN LONG PO KOK PRIMARY SCHOOL,113.99899,22.43011,PRIMARY
HONG KONG TAOIST ASSOCIATION SHUN YEUNG PRIMARY SCHOOL,114.22825,22.42611,PRIMARY
PO LEUNG KUK RIVERAIN PRIMARY SCHOOL,114.22782,22.42589,PRIMARY
MA ON SHAN LING LIANG PRIMARY SCHOOL,114.24079,22.42469,PRIMARY
NG CLAN'S ASSOCIATION TAI PAK MEMORIAL SCHOOL,114.23494,22.42127,PRIMARY
"CHRISTIAN ALLIANCE TOI SHAN H. C. CHAN PRIMARY SCHOOL OF THE KOWLOON TONG CHURCH OF THE CHINESE CHRISTIAN AND MISSIONARY ALLIANCE, HONG KONG",114.22591,22.42046,PRIMARY
PO LEUNG KUK CHONG KEE TING PRIMARY SCHOOL,114.23171,22.41968,PRIMARY
RENAISSANCE COLLEGE,114.22514,22.41813,PRIMARY
MA ON SHAN METHODIST PRIMARY SCHOOL,114.22484,22.41752,PRIMARY
MA ON SHAN ST. JOSEPH'S PRIMARY SCHOOL,114.23059,22.41703,PRIMARY
THE EVANGELICAL LUTHERAN CHURCH OF HONG KONG MA ON SHAN LUTHERAN PRIMARY SCHOOL,114.22834,22.41521,PRIMARY
PO LEUNG KUK HORIZON EAST PRIMARY SCHOOL,113.96652,22.41128,PRIMARY
HING TAK SCHOOL,113.98164,22.41109,PRIMARY
HONG KONG RED CROSS HOSPITAL SCHOOLS (PRIMARY SECTION),113.97374,22.41001,PRIMARY
TUEN MUN GOVERNMENT PRIMARY SCHOOL,113.97733,22.40956,PRIMARY
S.K.H. MA ON SHAN HOLY SPIRIT PRIMARY SCHOOL,114.22031,22.40708,PRIMARY
HONG KONG RED CROSS HOSPITAL SCHOOLS (PRIMARY SECTION),113.97621,22.40708,PRIMARY
PO LEUNG KUK FONG WONG KAM CHUEN PRIMARY SCHOOL,113.96223,22.4068,PRIMARY
"HONG CHI MORNINGHOPE SCHOOL, TUEN MUN (PRIMARY SECTION)",113.97206,22.40673,PRIMARY
THE HONG KONG ENG CLANSMAN ASSOCIATION WU SI CHONG MEMORIAL SCHOOL,113.97033,22.40646,PRIMARY
THE CHURCH OF CHRIST IN CHINA MONG WONG FAR YOK MEMORIAL PRIMARY SCHOOL,113.96627,22.40624,PRIMARY
SIR ROBERT BLACK COLLEGE OF EDUCATION PAST STUDENTS' ASSOCIATION HO SAU KI SCHOOL,113.96659,22.40563,PRIMARY
KOWLOON CITY BAPTIST CHURCH HAY NIEN PRIMARY SCHOOL,114.22239,22.40535,PRIMARY
PO LEUNG KUK VICWOOD K.T. CHONG NO.2 PRIMARY SCHOOL,113.96943,22.40461,PRIMARY
S.K.H. MUNG YAN PRIMARY SCHOOL,113.98006,22.40437,PRIMARY
HONG KONG RED SWASTIKA SOCIETY TUEN MUN PRIMARY SCHOOL,113.96144,22.40404,PRIMARY
TUNG WAN MOK LAW SHUI WAH SCHOOL (PRIMARY SECTION),113.96685,22.40269,PRIMARY
TOI SHAN ASSOCIATION PRIMARY SCHOOL,113.97189,22.40158,PRIMARY
STEWARDS POOI KEI PRIMARY SCHOOL,114.19794,22.40018,PRIMARY
TAOIST CHING CHUNG PRIMARY SCHOOL,113.96684,22.39743,PRIMARY
THE CHURCH OF CHRIST IN CHINA BUT SAN PRIMARY SCHOOL,113.97784,22.39719,PRIMARY
LOK SIN TONG LEUNG WONG WAI FONG MEMORIAL SCHOOL,113.96357,22.39627,PRIMARY
R.T.C. GAIA SCHOOL,113.97943,22.39594,PRIMARY
CASTLE PEAK CATHOLIC PRIMARY SCHOOL,113.97507,22.39483,PRIMARY
SHATIN JUNIOR SCHOOL,114.18844,22.39344,PRIMARY
PO LEUNG KUK SIU HON-SUM PRIMARY SCHOOL,114.19491,22.39334,PRIMARY
CARITAS RESURRECTION SCHOOL (PRIMARY SECTION),114.19097,22.39296,PRIMARY
FOREST HOUSE WALDORF SCHOOL,114.29456,22.39236,PRIMARY
LEUNG KUI KAU LUTHERAN PRIMARY SCHOOL,114.20581,22.39221,PRIMARY
THE ASSOCIATION OF DIRECTORS & FORMER DIRECTORS OF POK OI HOSPITAL LTD MRS CHENG YAM ON SCHOOL,113.9788,22.39189,PRIMARY
THE EVANGELICAL LUTHERAN CHURCH OF HONG KONG WO CHE LUTHERAN SCHOOL,114.19728,22.38962,PRIMARY
YAN OI TONG MADAM LAU WONG FAT PRIMARY SCHOOL,113.97726,22.38959,PRIMARY
SHUN TAK FRATERNAL ASSOCIATION HO YAT TUNG PRIMARY SCHOOL,113.97403,22.38957,PRIMARY
ISLAMIC PRIMARY SCHOOL,113.97228,22.3887,PRIMARY
TUNG WAH GROUP OF HOSPITALS TANG SHIU KIN PRIMARY SCHOOL,113.97721,22.38834,PRIMARY
SAHK KO FOOK IU MEMORIAL SCHOOL (PRIMARY SECTION),114.19372,22.38816,PRIMARY
HONG KONG BAPTIST UNIVERSITY AFFILIATED SCHOOL WONG KAM FAI SECONDARY AND PRIMARY SCHOOL,114.20996,22.38795,PRIMARY
BAPTIST LUI MING CHOI PRIMARY SCHOOL,114.2023,22.3879,PRIMARY
"HONG CHI MORNINGHILL SCHOOL, TUEN MUN (PRIMARY SECTION)",113.96513,22.38686,PRIMARY
